make,model,year,numeric_engine_size,engine_type,horsepower,flag_hp_estimate,torque_lb,flag_torque_estimate,zero_to_sixty,flag_zero_to_sixty_estimate,price_usd,price_gbp
Rolls-Royce,Wraith,2021,6.8,Combustion,624,False,605,False,4.4,False,330000.0,257400.0
Tesla,Roadster,2022,,Electric,1000,True,737,False,1.9,False,200000.0,156000.0
Toyota,Supra,2022,3.0,Combustion,382,False,368,False,3.9,False,43090.0,33610.200000000004
W Motors,Fenyr Supersport,2022,3.8,Combustion,800,False,723,False,2.7,False,1700000.0,1326000.0
Porsche,718 Cayman,2022,2.0,Combustion,300,False,280,False,4.7,False,60500.0,47190.0
Lamborghini,Aventador,2021,6.5,Combustion,770,False,531,False,2.9,False,522000.0,407160.0
Audi,TT RS,2022,2.5,Combustion,394,False,354,False,3.4,False,67000.0,52260.0
McLaren,GT,2021,4.0,Combustion,612,False,465,False,3.1,False,212500.0,165750.0
BMW,M4,2022,3.0,Combustion,503,False,479,False,3.8,False,75000.0,58500.0
Mercedes-Benz,SL 63 AMG,2021,4.0,Combustion,603,False,664,False,3.5,False,155000.0,120900.0
Chevrolet,Camaro ZL1,2021,6.2,Combustion,650,False,650,False,3.5,False,64000.0,49920.0
Nissan,370Z,2021,3.7,Combustion,332,False,270,False,4.7,False,31015.0,24191.7
Aston Martin,DBS Superleggera,2021,5.2,Combustion,715,False,664,False,3.4,False,304995.0,237896.1
Porsche,Panamera Turbo S E-Hybrid,2021,4.0,Combustion,690,False,642,False,3.2,False,190000.0,148200.0
Lamborghini,Urus,2021,4.0,Combustion,641,False,627,False,3.6,False,222000.0,173160.0
Audi,RS7,2021,4.0,Combustion,591,False,590,False,3.5,False,115000.0,89700.0
BMW,M2,2022,3.0,Combustion,405,False,406,False,4.2,False,59000.0,46020.0
Porsche,Cayman GT4,2022,4.0,Combustion,414,False,309,False,4.2,False,102100.0,79638.0
Lamborghini,Aventador,2021,6.5,Combustion,730,False,509,False,2.9,False,417826.0,325904.28
Bentley,Continental GT,2021,6.0,Combustion,626,False,664,False,3.6,False,220300.0,171834.0
Audi,RS7,2022,4.0,Combustion,591,False,590,False,3.5,False,114000.0,88920.0
Mercedes-Benz,SLS AMG,2021,6.2,Combustion,622,False,468,False,3.7,False,239100.0,186498.0
Chevrolet,Camaro ZL1,2021,6.2,Combustion,650,False,650,False,3.5,False,62500.0,48750.0
Dodge,Challenger SRT Hellcat,2021,6.2,Combustion,717,False,656,False,3.5,False,65290.0,50926.200000000004
Ferrari,Portofino,2021,3.9,Combustion,592,False,560,False,3.5,False,219750.0,171405.0
Porsche,Panamera Turbo S,2022,4.0,Combustion,620,False,604,False,2.9,False,187700.0,146406.0
Lamborghini,Urus,2021,4.0,Combustion,641,False,627,False,3.6,False,222004.0,173163.12
Mercedes-Benz,AMG C63,2021,4.0,Combustion,469,False,479,False,3.8,False,71350.0,55653.0
Aston Martin,Vantage,2021,4.0,Combustion,503,False,505,False,3.6,False,146000.0,113880.0
Porsche,Cayman,2022,2.5,Combustion,365,False,309,False,4.5,False,68900.0,53742.0
Lamborghini,Aventador,2021,6.5,Combustion,730,False,507,False,2.8,False,517770.0,403860.60000000003
Ferrari,F8 Tributo,2022,3.9,Combustion,710,False,568,False,2.9,False,276550.0,215709.0
BMW,Z4 M40i,2022,3.0,Combustion,382,False,369,False,3.9,False,63700.0,49686.0
Chevrolet,Camaro SS,2022,6.2,Combustion,455,False,455,False,4.1,False,44000.0,34320.0
Ford,Mustang Mach 1,2021,5.0,Combustion,480,False,420,False,4.0,False,51720.0,40341.6
Nissan,370Z Nismo,2021,3.7,Combustion,350,False,276,False,4.9,False,45790.0,35716.200000000004
Porsche,Panamera,2022,2.9,Combustion,325,False,331,False,5.4,False,88550.0,69069.0
Ferrari,Roma,2021,3.9,Combustion,612,False,561,False,3.3,False,222620.0,173643.6
Audi,RS 3,2022,2.5,Combustion,401,False,369,False,3.6,False,56200.0,43836.0
McLaren,GT,2021,4.0,Combustion,612,False,465,False,3.2,False,200000.0,156000.0
BMW,M2 CS,2022,3.0,Combustion,444,False,406,False,3.8,False,84595.0,65984.1
Mercedes-Benz,AMG C63,2021,4.0,Combustion,503,False,516,False,3.8,False,77500.0,60450.0
Acura,NSX,2021,3.5,Combustion,573,False,476,False,2.7,False,157500.0,122850.0
Aston Martin,DB11,2022,4.0,Combustion,503,False,513,False,3.7,False,204100.0,159198.0
Dodge,Viper,2017,8.4,Combustion,645,False,600,False,3.3,False,120000.0,93600.0
Jaguar,F-Type,2022,3.0,Combustion,380,False,339,False,4.9,False,69900.0,54522.0
Lotus,Evora GT,2021,3.5,Combustion,416,False,317,False,3.8,False,105950.0,82641.0
Maserati,GranTurismo,2020,4.7,Combustion,454,False,384,False,4.8,False,150000.0,117000.0
McLaren,570S,2020,3.8,Combustion,562,False,443,False,3.1,False,204550.0,159549.0
Pagani,Huayra,2020,6.0,Combustion,720,False,738,False,3.0,False,2700000.0,2106000.0
Porsche,Cayman GT4,2022,4.0,Combustion,414,False,309,False,4.2,False,102900.0,80262.0
Rimac,C_Two,2022,,Electric,1914,False,1696,False,1.9,False,2400000.0,1872000.0
Rolls-Royce,Wraith,2021,6.6,Combustion,624,False,605,False,4.3,False,330000.0,257400.0
Shelby,Cobra,1965,7.0,Combustion,435,False,440,False,4.2,False,1000000.0,780000.0
Tesla,Model S Plaid,2021,,Electric,1020,False,1050,False,1.98,False,131190.0,102328.2
Toyota,GR Supra,2022,3.0,Combustion,382,False,368,False,3.9,False,43090.0,33610.200000000004
TVR,Griffith,2022,5.0,Combustion,500,False,479,False,3.8,False,123500.0,96330.0
W Motors,Lykan Hypersport,2015,3.7,Combustion,780,False,708,False,2.8,False,3400000.0,2652000.0
Porsche,718 Cayman,2021,2.0,Combustion,300,False,280,False,4.5,False,61500.0,47970.0
Lamborghini,Aventador SVJ,2021,6.5,Combustion,770,False,531,False,2.8,False,518000.0,404040.0
Ferrari,SF90 Stradale,2022,4.0,Combustion,986,False,590,False,2.5,False,507000.0,395460.0
Audi,RS 6,2021,4.0,Combustion,591,False,590,False,3.5,False,109000.0,85020.0
Mercedes-Benz,SLS AMG,2015,6.2,Combustion,622,False,468,False,3.6,False,228000.0,177840.0
Chevrolet,Camaro SS,2021,6.2,Combustion,455,False,455,False,4.0,False,42000.0,32760.0
Nissan,370Z Nismo,2021,3.7,Combustion,350,False,276,False,5.0,False,45000.0,35100.0
Porsche,Taycan,2021,,Electric,750,False,774,False,2.6,False,185000.0,144300.0
Ferrari,F8 Tributo,2021,3.9,Combustion,710,False,568,False,2.9,False,276550.0,215709.0
Audi,RS 3,2022,2.5,Combustion,401,False,354,False,3.5,False,56000.0,43680.0
McLaren,570S,2021,3.8,Combustion,562,False,443,False,3.1,False,191000.0,148980.0
BMW,M5,2022,4.4,Combustion,600,False,553,False,3.2,False,104000.0,81120.0
Mercedes-Benz,AMG C 63,2021,4.0,Combustion,469,False,479,False,3.9,False,69900.0,54522.0
Porsche,Taycan,2022,2.0,Combustion,402,False,254,False,5.1,False,81250.0,63375.0
Lamborghini,Aventador,2021,6.5,Combustion,730,False,509,False,2.9,False,517700.0,403806.0
Aston Martin,DBS Superleggera,2022,5.2,Combustion,715,False,663,False,3.4,False,330000.0,257400.0
Audi,RS 6 Avant,2021,4.0,Combustion,591,False,590,False,3.5,False,109000.0,85020.0
McLaren,600LT,2021,3.8,Combustion,592,False,457,False,2.8,False,242500.0,189150.0
Mercedes-AMG,C 63 S Coupe,2022,4.0,Combustion,503,False,516,False,3.7,False,77000.0,60060.0
Chevrolet,Camaro ZL1,2021,6.2,Combustion,650,False,650,False,3.5,False,62000.0,48360.0
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,Combustion,797,False,707,False,3.5,False,76000.0,59280.0
Porsche,Panamera,2022,2.9,Combustion,325,False,332,False,5.3,False,87200.0,68016.0
Audi,RS 7,2021,4.0,Combustion,591,False,590,False,3.5,False,114000.0,88920.0
Jaguar,F-Type,2022,5.0,Combustion,575,False,516,False,3.5,False,103200.0,80496.0
Porsche,Panamera Turbo S,2021,4.0,Combustion,620,False,604,False,2.9,False,177700.0,138606.0
Lamborghini,Aventador S,2021,6.5,Combustion,729,False,509,False,2.9,False,417650.0,325767.0
Audi,RS7,2022,4.0,Combustion,591,False,590,False,3.5,False,115045.0,89735.1
McLaren,600LT,2021,3.8,Combustion,592,False,457,False,2.9,False,256500.0,200070.0
BMW,M2 Competition,2022,3.0,Combustion,405,False,406,False,4.0,False,59895.0,46718.1
Mercedes-Benz,S63 AMG,2021,4.0,Combustion,603,False,664,False,3.4,False,152500.0,118950.0
Dodge,Challenger SRT Hellcat,2022,6.2,Combustion,717,False,656,False,3.5,False,69995.0,54596.1
Porsche,Taycan Turbo S,2021,,Electric,750,False,774,False,2.6,False,185000.0,144300.0
Ferrari,812 Superfast,2021,6.5,Combustion,789,False,530,False,2.9,False,363730.0,283709.4
Audi,R8 Spyder,2022,5.2,Combustion,562,False,406,False,3.5,False,183300.0,142974.0
BMW,M4,2022,3.0,Combustion,473,False,406,False,4.1,False,73795.0,57560.1
Mercedes-Benz,AMG GT R,2021,4.0,Combustion,577,False,516,False,3.5,False,183000.0,142740.0
Chevrolet,Corvette Stingray,2021,6.2,Combustion,495,False,470,False,2.9,False,60995.0,47576.1
Aston Martin,DB11,2022,5.2,Combustion,630,False,516,False,3.5,False,207000.0,161460.0
Bentley,Continental GT,2022,6.0,Combustion,626,False,664,False,3.5,False,203825.0,158983.5
Jaguar,F-Type R,2021,5.0,Combustion,575,False,516,False,3.5,False,103200.0,80496.0
Acura,NSX,2022,3.5,Combustion,573,False,476,False,2.7,False,157500.0,122850.0
Lotus,Evora GT,2021,3.5,Combustion,416,False,317,False,3.7,False,99800.0,77844.0
Porsche,Cayman GT4,2021,4.0,Combustion,414,False,309,False,4.2,False,100200.0,78156.0
Alfa Romeo,4C,2020,1.7,Combustion,237,False,258,False,4.1,False,67150.0,52377.0
Audi,RS5,2022,2.9,Combustion,444,False,443,False,3.7,False,77250.0,60255.0
BMW,M2 Competition,2021,3.0,Combustion,405,False,406,False,4.0,False,58900.0,45942.0
Dodge,Charger SRT Hellcat,2022,6.2,Combustion,717,False,650,False,3.6,False,71490.0,55762.200000000004
Maserati,GranTurismo,2020,4.7,Combustion,454,False,384,False,4.8,False,150400.0,117312.0
Nissan,370Z Nismo,2021,3.7,Combustion,350,False,276,False,4.6,False,47820.0,37299.6
Rolls-Royce,Wraith,2022,6.8,Combustion,624,False,605,False,4.4,False,330000.0,257400.0
Subaru,WRX STI,2021,2.5,Combustion,310,False,290,False,4.6,False,38170.0,29772.600000000002
Tesla,Model S Plaid,2022,,Electric,1020,False,1050,False,1.9,False,131190.0,102328.2
Porsche,Cayman GT4,2021,4.0,Combustion,414,False,309,False,4.2,False,102000.0,79560.0
Lamborghini,Aventador,2021,6.5,Combustion,729,False,507,False,2.9,False,393695.0,307082.10000000003
Ferrari,Portofino,2022,3.9,Combustion,591,False,413,False,3.3,False,218750.0,170625.0
Audi,RS7,2021,4.0,Combustion,591,False,590,False,3.5,False,114000.0,88920.0
Chevrolet,Camaro SS,2021,6.2,Combustion,455,False,455,False,4.1,False,40590.0,31660.2
Ford,Mustang Mach 1,2021,5.0,Combustion,480,False,420,False,4.0,False,52720.0,41121.6
Porsche,Panamera Turbo,2022,4.0,Combustion,620,False,604,False,3.1,False,174300.0,135954.0
Ferrari,SF90 Stradale,2022,4.0,Combustion,986,False,590,False,2.5,False,625000.0,487500.0
Audi,TT RS,2022,2.5,Combustion,394,False,354,False,3.4,False,67895.0,52958.1
Dodge,Challenger SRT Hellcat,2021,6.2,Combustion,717,False,656,False,3.5,False,62290.0,48586.200000000004
Aston Martin,DBS Superleggera,2021,5.2,Combustion,715,False,663,False,3.2,False,304995.0,237896.1
Lexus,LC 500,2022,5.0,Combustion,471,False,398,False,4.4,False,93050.0,72579.0
Porsche,Cayman GT4,2022,4.0,Combustion,414,False,309,False,4.2,False,101200.0,78936.0
Audi,RS 5 Coupe,2021,2.9,Combustion,444,False,443,False,3.7,False,75100.0,58578.0
Chevrolet,Camaro ZL1,2021,6.2,Combustion,650,False,650,False,3.5,False,64195.0,50072.1
Lotus,Evora GT,2022,3.5,Combustion,416,False,317,False,3.8,False,105000.0,81900.0
McLaren,GT,2021,4.0,Combustion,612,False,465,False,3.1,False,211000.0,164580.0
Mercedes-Benz,SLS AMG Black Series,2014,6.2,Combustion,622,False,468,False,3.5,False,275000.0,214500.0
Bugatti,Chiron,2021,8.0,Combustion,1500,False,1180,False,2.4,False,2998000.0,2338440.0
Koenigsegg,Jesko,2021,5.0,Combustion,1280,False,1015,False,2.5,False,3000000.0,2340000.0
Lamborghini,Aventador SVJ,2020,6.5,Combustion,770,False,531,False,2.8,False,573966.0,447693.48000000004
Rimac,C_Two,2022,,Electric,1914,False,1732,False,1.85,False,2400000.0,1872000.0
Pagani,Huayra Roadster BC,2021,6.0,Combustion,791,False,774,False,2.5,False,3500000.0,2730000.0
Pininfarina,Battista,2022,,Electric,1874,False,1696,False,1.9,False,2500000.0,1950000.0
Bentley,Continental GT,2022,4.0,Combustion,542,False,568,False,3.9,False,219800.0,171444.0
Dodge,Challenger SRT Hellcat,2022,6.2,Combustion,717,False,656,False,3.5,False,70000.0,54600.0
Jaguar,F-Type,2022,2.0,Combustion,296,False,295,False,5.4,False,61600.0,48048.0
Kia,Stinger,2022,3.3,Combustion,368,False,376,False,4.7,False,52200.0,40716.0
Lotus,Evora GT,2021,3.5,Combustion,416,False,317,False,3.8,False,100450.0,78351.0
Maserati,GranTurismo,2021,4.7,Combustion,454,False,384,False,4.8,False,134300.0,104754.0
Porsche,718 Cayman GT4,2022,4.0,Combustion,414,False,309,False,4.2,False,102550.0,79989.0
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,Combustion,505,False,443,False,3.8,False,76400.0,59592.0
Chevrolet,Camaro ZL1,2022,6.2,Combustion,650,False,650,False,3.5,False,69000.0,53820.0
Mercedes-Benz,SLS AMG,2021,4.0,Combustion,577,False,516,False,3.6,False,247500.0,193050.0
Porsche,Taycan,2022,,Electric,616,False,774,False,2.6,False,79900.0,62322.0
Tesla,Model S,2022,,Electric,1020,False,1050,False,1.98,False,119000.0,92820.0
Aston Martin,DBS Superleggera,2022,5.2,Combustion,715,False,664,False,3.2,False,307820.0,240099.6
Bentley,Continental GT,2022,4.0,Combustion,542,False,568,False,3.4,False,207825.0,162103.5
Bugatti,Chiron,2021,8.0,Combustion,1479,False,1180,False,2.3,False,2998000.0,2338440.0
McLaren,570S,2021,3.8,Combustion,562,False,443,False,3.1,False,202500.0,157950.0
Porsche,Taycan Turbo S,2021,,Electric,750,False,774,False,2.6,False,185000.0,144300.0
Lamborghini,Aventador S,2021,6.5,Combustion,730,False,509,False,2.9,False,417826.0,325904.28
Audi,RS 7,2022,4.0,Combustion,591,False,590,False,3.5,False,114000.0,88920.0
Mercedes-Benz,SLS AMG,2021,6.2,Combustion,622,False,468,False,3.2,False,275000.0,214500.0
Chevrolet,Camaro ZL1,2021,6.2,Combustion,650,False,650,False,3.5,False,63000.0,49140.0
Jaguar,F-Type,2021,5.0,Combustion,575,False,516,False,3.5,False,103200.0,80496.0
Lotus,Evora GT,2021,3.5,Combustion,416,False,317,False,3.8,False,96950.0,75621.0
McLaren,765LT,2021,4.0,Combustion,755,False,590,False,2.8,False,358000.0,279240.0
Nissan,370Z,2021,3.7,Combustion,332,False,270,False,5.0,False,30000.0,23400.0
Pagani,Huayra,2021,6.0,Combustion,730,False,738,False,3.0,False,2600000.0,2028000.0
Porsche,Panamera Turbo S,2021,4.0,Combustion,620,False,604,False,2.9,False,180000.0,140400.0
Tesla,Model S Plaid,2021,,Electric,1020,False,1050,False,1.9,False,131100.0,102258.0
Aston Martin,DB11,2021,4.0,Combustion,503,False,513,False,4.0,False,201495.0,157166.1
Dodge,Challenger Hellcat Redeye,2022,6.2,Combustion,797,False,707,False,3.4,False,82190.0,64108.200000000004
Lotus,Evora,2021,3.5,Combustion,416,False,317,False,3.8,False,96950.0,75621.0
Acura,NSX,2021,3.5,Combustion,573,False,476,False,2.7,False,159495.0,124406.1
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,Combustion,505,False,443,False,3.8,False,76950.0,60021.0
Bentley,Continental GT,2021,6.0,Combustion,626,False,664,False,3.3,False,202500.0,157950.0
Jaguar,F-Type,2022,3.0,Combustion,380,False,339,False,4.9,False,70100.0,54678.0
Koenigsegg,Jesko,2022,5.0,Combustion,1280,False,1015,False,2.5,False,3000000.0,2340000.0
Maserati,GranTurismo,2022,4.7,Combustion,454,False,384,False,4.8,False,132795.0,103580.1
McLaren,GT,2022,4.0,Combustion,612,False,465,False,3.1,False,215500.0,168090.0
Mercedes-AMG,C 63 S Coupe,2022,4.0,Combustion,503,False,516,False,3.7,False,80900.0,63102.0
Porsche,718 Cayman,2021,2.0,Combustion,300,False,280,False,4.9,False,59900.0,46722.0
Tesla,Roadster,2022,,Electric,1000,True,,,1.9,False,200000.0,156000.0
Chevrolet,Camaro SS,2021,6.2,Combustion,455,False,455,False,4.0,False,40000.0,31200.0
Aston Martin,DB11,2021,5.2,Combustion,630,False,516,False,3.7,False,209000.0,163020.0
Bentley,Continental GT,2022,4.0,Combustion,542,False,568,False,3.9,False,202500.0,157950.0
Dodge,Challenger Hellcat,2022,6.2,Combustion,717,False,656,False,3.5,False,67500.0,52650.0
Koenigsegg,Jesko,2022,5.0,Combustion,1280,False,1106,False,2.5,False,2800000.0,2184000.0
Lexus,LC,2021,5.0,Combustion,471,False,398,False,4.4,False,92950.0,72501.0
Lotus,Evora GT,2021,3.5,Combustion,416,False,317,False,3.8,False,104200.0,81276.0
Maserati,GranTurismo,2021,4.7,Combustion,454,False,384,False,4.7,False,133050.0,103779.0
McLaren,570S,2021,3.8,Combustion,562,False,443,False,3.1,False,196350.0,153153.0
Mercedes-Benz,AMG C63,2022,4.0,Combustion,503,False,516,False,3.8,False,69900.0,54522.0
Pagani,Huayra BC,2021,6.0,Combustion,791,False,774,False,2.7,False,2600000.0,2028000.0
Rolls-Royce,Wraith,2021,6.7,Combustion,624,False,605,False,4.4,False,338000.0,263640.0
Tesla,Roadster,2022,,Electric,1000,True,,True,1.9,False,200000.0,156000.0
Aston Martin,Vantage,2021,4.0,Combustion,503,False,505,False,3.5,False,150000.0,117000.0
Bentley,Continental GT,2021,6.0,Combustion,626,False,664,False,3.6,False,218400.0,170352.0
Dodge,Challenger SRT Hellcat Redeye,2021,6.2,Combustion,797,False,707,False,3.5,False,73000.0,56940.0
